stimuli,emotion_stimuli,subject,emotion_subject
koyama_sad_au_mouth_1_0,sad,2,sad
iwagami_sad_au_mouth_3_0,sad,2,fea
henmi_sad_au_mouth_3_0,sad,2,sad
kikuguti_sad_au_1_0,sad,2,sad
sirakura_sad_au_mouth_1_0_130,sad,2,sad
nakatakuma_sad_au_2_0,sad,2,dis
nishio_sur_au_mouth_2_0,sur,2,sur
ota_sur_fr_1_0,sur,2,sur
koyama_sur_fr_2_0,sur,2,sur
iwagami_sur_au_mouth_2_0,sur,2,sur
henmi_sur_au_mouth_2_0,sur,2,sur
kikuguti_sur_fr_2_0,sur,2,sur
sirakura_sur_fr_1_0,sur,2,sur
nakatakuma_sur_au_mouth_2_0,sur,2,sur
nishio_ang_au_cl_2_0,ang,3,ang
ota_ang_au_cl_1_0,ang,3,ang
koyama_ang_au_cl_2_0,ang,3,ang
iwagami_ang_au_cl_1_0,ang,3,sad
henmi_ang_au_cl_4_0,ang,3,dis
kikuguti_ang_au_cl_1_0,ang,3,ang
sirakura_ang_au_cl_3_0,ang,3,dis
nakatakuma_ang_au_cl_2_0,ang,3,ang
nishio_dis_au_cl_3_0,dis,3,dis
ota_dis_au_cl_1_0,dis,3,dis
koyama_dis_au_cl_2_0,dis,3,sad
iwagami_dis_au_cl_1_0,dis,3,dis
henmi_dis_au_cl_1_0,dis,3,sad
kikuguti_dis_au_cl_4_0,dis,3,dis
sirakura_dis_au_cl_1_0,dis,3,sad
nakatakuma_dis_au_cl_1_0,dis,3,dis
nishio_fea_au_mouth_2_0,fea,3,sur
ota_fea_fr_2_0,fea,3,dis
koyama_fea_fr_2_0,fea,3,sur
iwagami_fea_au_mouth_1_0,fea,3,dis
henmi_fea_au_mouth_2_0,fea,3,dis
kikuguti_fea_au_mouth_1_0,fea,3,sad
sirakura_fea_fr_2_0,fea,3,sur
nakatakuma_fea_fr_1_0,fea,3,fea
nishio_hap_au_du_1_0,hap,3,hap
ota_hap_au_du_1_0,hap,3,hap
koyama_hap_au_du_1_0,hap,3,hap
iwagami_hap_au_du_2_0,hap,3,hap
henmi_hap_au_du_1_0,hap,3,hap
kikuguti_hap_au_du_4_0,hap,3,hap
sirakura_hap_au_du_2_0,hap,3,hap
nakatakuma_hap_au_du_1_0,hap,3,hap
nishio_sad_au_1_0,sad,3,sad
ota_sad_au_mouth_1_0,sad,3,sad
koyama_sad_au_mouth_1_0,sad,3,sad
iwagami_sad_au_mouth_3_0,sad,3,sad
henmi_sad_au_mouth_3_0,sad,3,ang
kikuguti_sad_au_1_0,sad,3,sad
sirakura_sad_au_mouth_1_0_130,sad,3,sad
nakatakuma_sad_au_2_0,sad,3,sad
nishio_sur_au_mouth_2_0,sur,3,sur
ota_sur_fr_1_0,sur,3,sur
koyama_sur_fr_2_0,sur,3,sur
iwagami_sur_au_mouth_2_0,sur,3,sur
henmi_sur_au_mouth_2_0,sur,3,sur
kikuguti_sur_fr_2_0,sur,3,sur
sirakura_sur_fr_1_0,sur,3,sur
nakatakuma_sur_au_mouth_2_0,sur,3,sur
nishio_ang_au_cl_2_0,ang,4,ang
ota_ang_au_cl_1_0,ang,4,ang
koyama_ang_au_cl_2_0,ang,4,ang
iwagami_ang_au_cl_1_0,ang,4,ang
henmi_ang_au_cl_4_0,ang,4,ang
kikuguti_ang_au_cl_1_0,ang,4,ang
sirakura_ang_au_cl_3_0,ang,4,ang
nakatakuma_ang_au_cl_2_0,ang,4,ang
nishio_dis_au_cl_3_0,dis,4,dis
ota_dis_au_cl_1_0,dis,4,ang
koyama_dis_au_cl_2_0,dis,4,dis
iwagami_dis_au_cl_1_0,dis,4,dis
henmi_dis_au_cl_1_0,dis,4,dis
kikuguti_dis_au_cl_4_0,dis,4,dis
