stimuli,emotion_stimuli,subject,emotion_subject
kikuguti_hap_au_du_4_0,hap,TS,hap
sirakura_hap_au_du_2_0,hap,TS,hap
nakatakuma_hap_au_du_1_0,hap,TS,hap
nishio_sad_au_1_0,sad,TS,fea
ota_sad_au_mouth_1_0,sad,TS,sad
koyama_sad_au_mouth_1_0,sad,TS,sad
iwagami_sad_au_mouth_3_0,sad,TS,fea
henmi_sad_au_mouth_3_0,sad,TS,sad
kikuguti_sad_au_1_0,sad,TS,sad
sirakura_sad_au_mouth_1_0_130,sad,TS,sad
nakatakuma_sad_au_2_0,sad,TS,dis
nishio_sur_au_mouth_2_0,sur,TS,sur
ota_sur_fr_1_0,sur,TS,sur
koyama_sur_fr_2_0,sur,TS,sur
iwagami_sur_au_mouth_2_0,sur,TS,sur
henmi_sur_au_mouth_2_0,sur,TS,sur
kikuguti_sur_fr_2_0,sur,TS,sur
sirakura_sur_fr_1_0,sur,TS,sur
nakatakuma_sur_au_mouth_2_0,sur,TS,sur
nishio_ang_au_cl_2_0,ang,SD,ang
ota_ang_au_cl_1_0,ang,SD,ang
koyama_ang_au_cl_2_0,ang,SD,ang
iwagami_ang_au_cl_1_0,ang,SD,sad
henmi_ang_au_cl_4_0,ang,SD,dis
kikuguti_ang_au_cl_1_0,ang,SD,ang
sirakura_ang_au_cl_3_0,ang,SD,dis
nakatakuma_ang_au_cl_2_0,ang,SD,ang
nishio_dis_au_cl_3_0,dis,SD,dis
ota_dis_au_cl_1_0,dis,SD,dis
koyama_dis_au_cl_2_0,dis,SD,sad
iwagami_dis_au_cl_1_0,dis,SD,dis
henmi_dis_au_cl_1_0,dis,SD,sad
kikuguti_dis_au_cl_4_0,dis,SD,dis
sirakura_dis_au_cl_1_0,dis,SD,sad
nakatakuma_dis_au_cl_1_0,dis,SD,dis
nishio_fea_au_mouth_2_0,fea,SD,sur
ota_fea_fr_2_0,fea,SD,dis
koyama_fea_fr_2_0,fea,SD,sur
iwagami_fea_au_mouth_1_0,fea,SD,dis
henmi_fea_au_mouth_2_0,fea,SD,dis
kikuguti_fea_au_mouth_1_0,fea,SD,sad
sirakura_fea_fr_2_0,fea,SD,sur
nakatakuma_fea_fr_1_0,fea,SD,fea
nishio_hap_au_du_1_0,hap,SD,hap
ota_hap_au_du_1_0,hap,SD,hap
koyama_hap_au_du_1_0,hap,SD,hap
iwagami_hap_au_du_2_0,hap,SD,hap
henmi_hap_au_du_1_0,hap,SD,hap
kikuguti_hap_au_du_4_0,hap,SD,hap
sirakura_hap_au_du_2_0,hap,SD,hap
nakatakuma_hap_au_du_1_0,hap,SD,hap
nishio_sad_au_1_0,sad,SD,sad
ota_sad_au_mouth_1_0,sad,SD,sad
koyama_sad_au_mouth_1_0,sad,SD,sad
iwagami_sad_au_mouth_3_0,sad,SD,sad
henmi_sad_au_mouth_3_0,sad,SD,ang
kikuguti_sad_au_1_0,sad,SD,sad
sirakura_sad_au_mouth_1_0_130,sad,SD,sad
nakatakuma_sad_au_2_0,sad,SD,sad
nishio_sur_au_mouth_2_0,sur,SD,sur
ota_sur_fr_1_0,sur,SD,sur
koyama_sur_fr_2_0,sur,SD,sur
iwagami_sur_au_mouth_2_0,sur,SD,sur
henmi_sur_au_mouth_2_0,sur,SD,sur
kikuguti_sur_fr_2_0,sur,SD,sur
sirakura_sur_fr_1_0,sur,SD,sur
nakatakuma_sur_au_mouth_2_0,sur,SD,sur
nishio_ang_au_cl_2_0,ang,IY,ang
ota_ang_au_cl_1_0,ang,IY,ang
koyama_ang_au_cl_2_0,ang,IY,ang
iwagami_ang_au_cl_1_0,ang,IY,ang
henmi_ang_au_cl_4_0,ang,IY,ang
kikuguti_ang_au_cl_1_0,ang,IY,ang
sirakura_ang_au_cl_3_0,ang,IY,ang
nakatakuma_ang_au_cl_2_0,ang,IY,ang
nishio_dis_au_cl_3_0,dis,IY,dis
ota_dis_au_cl_1_0,dis,IY,ang
koyama_dis_au_cl_2_0,dis,IY,dis
iwagami_dis_au_cl_1_0,dis,IY,dis
henmi_dis_au_cl_1_0,dis,IY,dis
kikuguti_dis_au_cl_4_0,dis,IY,dis
sirakura_dis_au_cl_1_0,dis,IY,dis
nakatakuma_dis_au_cl_1_0,dis,IY,dis
nishio_fea_au_mouth_2_0,fea,IY,sur
ota_fea_fr_2_0,fea,IY,fea
koyama_fea_fr_2_0,fea,IY,fea
iwagami_fea_au_mouth_1_0,fea,IY,fea
henmi_fea_au_mouth_2_0,fea,IY,fea
kikuguti_fea_au_mouth_1_0,fea,IY,sad
sirakura_fea_fr_2_0,fea,IY,fea
nakatakuma_fea_fr_1_0,fea,IY,fea
nishio_hap_au_du_1_0,hap,IY,hap
ota_hap_au_du_1_0,hap,IY,hap
koyama_hap_au_du_1_0,hap,IY,hap
iwagami_hap_au_du_2_0,hap,IY,hap
henmi_hap_au_du_1_0,hap,IY,hap
kikuguti_hap_au_du_4_0,hap,IY,hap
sirakura_hap_au_du_2_0,hap,IY,hap
nakatakuma_hap_au_du_1_0,hap,IY,hap
nishio_sad_au_1_0,sad,IY,sad
ota_sad_au_mouth_1_0,sad,IY,sad
koyama_sad_au_mouth_1_0,sad,IY,sad
iwagami_sad_au_mouth_3_0,sad,IY,sad
henmi_sad_au_mouth_3_0,sad,IY,sad
kikuguti_sad_au_1_0,sad,IY,sad
sirakura_sad_au_mouth_1_0_130,sad,IY,sad
nakatakuma_sad_au_2_0,sad,IY,ang
nishio_sur_au_mouth_2_0,sur,IY,sur
ota_sur_fr_1_0,sur,IY,sur
koyama_sur_fr_2_0,sur,IY,sur
iwagami_sur_au_mouth_2_0,sur,IY,sur
henmi_sur_au_mouth_2_0,sur,IY,sur
kikuguti_sur_fr_2_0,sur,IY,sur
sirakura_sur_fr_1_0,sur,IY,sur
nakatakuma_sur_au_mouth_2_0,sur,IY,sur
nishio_ang_au_cl_2_0,ang,MK,ang
ota_ang_au_cl_1_0,ang,MK,dis
koyama_ang_au_cl_2_0,ang,MK,ang
iwagami_ang_au_cl_1_0,ang,MK,sad
henmi_ang_au_cl_4_0,ang,MK,dis
kikuguti_ang_au_cl_1_0,ang,MK,ang
sirakura_ang_au_cl_3_0,ang,MK,ang
nakatakuma_ang_au_cl_2_0,ang,MK,ang
nishio_dis_au_cl_3_0,dis,MK,sad
ota_dis_au_cl_1_0,dis,MK,dis
koyama_dis_au_cl_2_0,dis,MK,dis
iwagami_dis_au_cl_1_0,dis,MK,dis
henmi_dis_au_cl_1_0,dis,MK,sad
kikuguti_dis_au_cl_4_0,dis,MK,sad
sirakura_dis_au_cl_1_0,dis,MK,sad
nakatakuma_dis_au_cl_1_0,dis,MK,dis
nishio_fea_au_mouth_2_0,fea,MK,fea
ota_fea_fr_2_0,fea,MK,fea
koyama_fea_fr_2_0,fea,MK,fea
iwagami_fea_au_mouth_1_0,fea,MK,fea
henmi_fea_au_mouth_2_0,fea,MK,fea
kikuguti_fea_au_mouth_1_0,fea,MK,sad
sirakura_fea_fr_2_0,fea,MK,sur
nakatakuma_fea_fr_1_0,fea,MK,sur
nishio_hap_au_du_1_0,hap,MK,hap
ota_hap_au_du_1_0,hap,MK,hap
koyama_hap_au_du_1_0,hap,MK,hap
iwagami_hap_au_du_2_0,hap,MK,hap
henmi_hap_au_du_1_0,hap,MK,hap
kikuguti_hap_au_du_4_0,hap,MK,hap
sirakura_hap_au_du_2_0,hap,MK,hap
nakatakuma_hap_au_du_1_0,hap,MK,hap
nishio_sad_au_1_0,sad,MK,sad
ota_sad_au_mouth_1_0,sad,MK,sad
koyama_sad_au_mouth_1_0,sad,MK,sad
iwagami_sad_au_mouth_3_0,sad,MK,sad
henmi_sad_au_mouth_3_0,sad,MK,sad
kikuguti_sad_au_1_0,sad,MK,sad
sirakura_sad_au_mouth_1_0_130,sad,MK,sad
nakatakuma_sad_au_2_0,sad,MK,sad
nishio_sur_au_mouth_2_0,sur,MK,hap
ota_sur_fr_1_0,sur,MK,sur
koyama_sur_fr_2_0,sur,MK,sur
iwagami_sur_au_mouth_2_0,sur,MK,sur
henmi_sur_au_mouth_2_0,sur,MK,sur
kikuguti_sur_fr_2_0,sur,MK,sur
sirakura_sur_fr_1_0,sur,MK,sur
nakatakuma_sur_au_mouth_2_0,sur,MK,sur
nishio_ang_au_cl_2_0,ang,AY,ang
ota_ang_au_cl_1_0,ang,AY,ang
koyama_ang_au_cl_2_0,ang,AY,ang
iwagami_ang_au_cl_1_0,ang,AY,ang
henmi_ang_au_cl_4_0,ang,AY,ang
kikuguti_ang_au_cl_1_0,ang,AY,ang
sirakura_ang_au_cl_3_0,ang,AY,ang
nakatakuma_ang_au_cl_2_0,ang,AY,ang
nishio_dis_au_cl_3_0,dis,AY,dis
ota_dis_au_cl_1_0,dis,AY,dis
koyama_dis_au_cl_2_0,dis,AY,dis
iwagami_dis_au_cl_1_0,dis,AY,dis
henmi_dis_au_cl_1_0,dis,AY,dis
kikuguti_dis_au_cl_4_0,dis,AY,dis
sirakura_dis_au_cl_1_0,dis,AY,sad
nakatakuma_dis_au_cl_1_0,dis,AY,ang
nishio_fea_au_mouth_2_0,fea,AY,fea
ota_fea_fr_2_0,fea,AY,fea
koyama_fea_fr_2_0,fea,AY,sur
iwagami_fea_au_mouth_1_0,fea,AY,fea
